country_name,country_qid,entity,label,type,latitude,longitude
Germany,Q183,http://www.wikidata.org/entity/Q803604,Q803604,Overhead power line,49.0428,9.2014
Germany,Q183,http://www.wikidata.org/entity/Q1961296,NORD.LINK,Overhead power line,56.20835,7.23561
Germany,Q183,http://www.wikidata.org/entity/Q113675143,Q113675143,Overhead power line,48.909237025,8.560785055
Germany,Q183,http://www.wikidata.org/entity/Q214717,Ronsdorf–Letmathe 220 kV power line,Overhead power line,51.359756,7.607118
Germany,Q183,http://www.wikidata.org/entity/Q1339861,Anlage 212,Overhead power line,48.7064,8.98611
Germany,Q183,http://www.wikidata.org/entity/Q240361,Q240361,Overhead power line,48.4868,11.9749
Germany,Q183,http://www.wikidata.org/entity/Q18022391,Hilpertsau-Weisenbach compact overhead line,Overhead power line,48.73359,8.36161
Germany,Q183,http://www.wikidata.org/entity/Q113847552,Dreikreisige Mittelspannungsleitung,Overhead power line,50.590964585,8.973131775
Uganda,Q1036,http://www.wikidata.org/entity/Q111944213,Mutundwe–Entebbe High Voltage Power Line,Overhead power line,0.257222222,30.116111111
Uganda,Q1036,http://www.wikidata.org/entity/Q48791981,Karuma–Kawanda High Voltage Power Line,Overhead power line,0.864722,32.49
Uganda,Q1036,http://www.wikidata.org/entity/Q48811981,Nkenda–Mpondwe–Beni High Voltage Power Line,Overhead power line,0.053333333,29.723888888
Uganda,Q1036,http://www.wikidata.org/entity/Q48792663,Bujagali–Tororo–Lessos High Voltage Power Line,Overhead power line,0.694444,34.207778
Uganda,Q1036,http://www.wikidata.org/entity/Q104848986,Mirama–Kabale High Voltage Power Line,Overhead power line,-1.049722222,30.458055555
Uganda,Q1036,http://www.wikidata.org/entity/Q48813338,Masaka–Mutukula–Mwanza High Voltage Power Line,Overhead power line,-0.9975,31.414444444
Uganda,Q1036,http://www.wikidata.org/entity/Q104848604,Mbale–Bulambuli–Siti Medium Voltage Power Line,Overhead power line,1.16,34.396666666
Uganda,Q1036,http://www.wikidata.org/entity/Q48814179,Lira–Gulu–Nebbi–Arua High Voltage Power Line,Overhead power line,2.737222222,32.305
Uganda,Q1036,http://www.wikidata.org/entity/Q48811599,Tororo–Opuyo–Lira High Voltage Power Line,Overhead power line,1.6775,33.676944444
Uganda,Q1036,http://www.wikidata.org/entity/Q104848631,Mbarara–Nkenda High Voltage Power Line,Overhead power line,0.257222222,30.116111111
Uganda,Q1036,http://www.wikidata.org/entity/Q60193442,Opuyo–Moroto High Voltage Power Line,Overhead power line,1.6775,33.676944
Uganda,Q1036,http://www.wikidata.org/entity/Q48790211,Kawanda–Birembo High Voltage Power Line,Overhead power line,-0.59046,30.4302
Uganda,Q1036,http://www.wikidata.org/entity/Q48807274,Nkenda–Fort Portal–Hoima High Voltage Power Line,Overhead power line,0.735,30.228055555
Ukraine,Q212,http://www.wikidata.org/entity/Q225724,Q225724,Overhead power line,47.853692,35.078165
United States,Q30,http://www.wikidata.org/entity/Q7144630,Path 62,Overhead power line,35.801111111,-115.009444444
United States,Q30,http://www.wikidata.org/entity/Q2045524,Pacific DC Intertie,Overhead power line,45.594166666,-121.114166666
Kenya,Q114,http://www.wikidata.org/entity/Q28223352,Isinya–Singida High Voltage Power Line,Overhead power line,-1.995,36.8
Kenya,Q114,http://www.wikidata.org/entity/Q55075065,Suswa–Isinya–Rabai High Voltage Power Line,Overhead power line,-3.930959,39.554875
Kenya,Q114,http://www.wikidata.org/entity/Q48792663,Bujagali–Tororo–Lessos High Voltage Power Line,Overhead power line,0.694444,34.207778
Kenya,Q114,http://www.wikidata.org/entity/Q55621164,Loiyangalani–Suswa High Voltage Power Line,Overhead power line,-0.276111,36.423056
Kenya,Q114,http://www.wikidata.org/entity/Q63346717,Olkaria–Lessos–Kisumu High Voltage Power Line,Overhead power line,0.218888888,35.295555555
Norway,Q20,http://www.wikidata.org/entity/Q264054,Skagerrak,Overhead power line,57.6477,8.618
Norway,Q20,http://www.wikidata.org/entity/Q1961296,NORD.LINK,Overhead power line,56.20835,7.23561
Norway,Q20,http://www.wikidata.org/entity/Q5636209,North Sea Link,Overhead power line,57.5672,2.6769
Italy,Q38,http://www.wikidata.org/entity/Q2356853,Pylons of Messina,Overhead power line,38.24583333,15.6325
Denmark,Q35,http://www.wikidata.org/entity/Q264054,Skagerrak,Overhead power line,57.6477,8.618
Tanzania,Q924,http://www.wikidata.org/entity/Q104876200,Iringa–Sumbawanga High Voltage Power Line,Overhead power line,-8.770555555,33.762777777
Tanzania,Q924,http://www.wikidata.org/entity/Q28223352,Isinya–Singida High Voltage Power Line,Overhead power line,-1.995,36.8
Tanzania,Q924,http://www.wikidata.org/entity/Q48813338,Masaka–Mutukula–Mwanza High Voltage Power Line,Overhead power line,-0.9975,31.414444444
Democratic Republic of the Congo,Q974,http://www.wikidata.org/entity/Q48811981,Nkenda–Mpondwe–Beni High Voltage Power Line,Overhead power line,0.053333333,29.723888888
United Kingdom,Q145,http://www.wikidata.org/entity/Q5636209,North Sea Link,Overhead power line,57.5672,2.6769
People's Republic of China,Q148,http://www.wikidata.org/entity/Q1622323,Zhoushan Island Overhead Powerline Tie,Overhead power line,29.9342,122.024
Brazil,Q155,http://www.wikidata.org/entity/Q26710879,Tucuruí transmission line,Overhead power line,-1.586588,-52.760676
Namibia,Q1030,http://www.wikidata.org/entity/Q106630931,Kokerboom–Auas High Voltage Power Line,Overhead power line,-25.985833333,18.136388888
Indonesia,Q252,http://www.wikidata.org/entity/Q4851044,Bali–Java Powerline,Overhead power line,-8.09959722,114.43681111
France,Q142,http://www.wikidata.org/entity/Q1530363,Lyon–Moutiers DC transmission scheme,Overhead power line,45.498594,6.5635
Rwanda,Q1037,http://www.wikidata.org/entity/Q48790211,Kawanda–Birembo High Voltage Power Line,Overhead power line,-0.59046,30.4302
