country_name,country_qid,entity,label,type,latitude,longitude
Germany,Q183,http://www.wikidata.org/entity/Q105337844,380 kV line Lubmin-Wolmirstedt,Underground power cable,54.139167,13.6825
Germany,Q183,http://www.wikidata.org/entity/Q117572557,Q117572557,Underground power cable,49.14248,9.1446
Germany,Q183,http://www.wikidata.org/entity/Q803604,Q803604,Underground power cable,49.0428,9.2014
Germany,Q183,http://www.wikidata.org/entity/Q19599433,DolWin3,Underground power cable,53.9957,6.42062
Germany,Q183,http://www.wikidata.org/entity/Q1961296,NORD.LINK,Underground power cable,56.20835,7.23561
Germany,Q183,http://www.wikidata.org/entity/Q113675143,Q113675143,Underground power cable,48.909237025,8.560785055
Germany,Q183,http://www.wikidata.org/entity/Q214717,Ronsdorf–Letmathe 220 kV power line,Underground power cable,51.359756,7.607118
Germany,Q183,http://www.wikidata.org/entity/Q1339861,Anlage 212,Underground power cable,48.7064,8.98611
Germany,Q183,http://www.wikidata.org/entity/Q240361,Q240361,Underground power cable,48.4868,11.9749
Germany,Q183,http://www.wikidata.org/entity/Q19599432,DolWin2,Underground power cable,53.97851,6.92315
Germany,Q183,http://www.wikidata.org/entity/Q18022391,Hilpertsau-Weisenbach compact overhead line,Underground power cable,48.73359,8.36161
Germany,Q183,http://www.wikidata.org/entity/Q5636198,DolWin1,Underground power cable,53.9968,6.4206
Germany,Q183,http://www.wikidata.org/entity/Q113847552,Dreikreisige Mittelspannungsleitung,Underground power cable,50.590964585,8.973131775
Australia,Q408,http://www.wikidata.org/entity/Q65532259,Heywood interconnector,Underground power cable,-37.733,140.841
United Kingdom,Q145,http://www.wikidata.org/entity/Q7495663,Shetland HVDC Connection,Underground power cable,59.3643,-2.0572
United Kingdom,Q145,http://www.wikidata.org/entity/Q84557580,Elstree to St. John's Wood Cable Tunnel,Underground power cable,51.526,-0.172
United Kingdom,Q145,http://www.wikidata.org/entity/Q918000,BritNed,Underground power cable,51.44,0.716667
United Kingdom,Q145,http://www.wikidata.org/entity/Q1563624,HVDC Cross-Channel,Underground power cable,51.0658,1.5563
United Kingdom,Q145,http://www.wikidata.org/entity/Q21208645,Viking Link,Underground power cable,54.6293,4.2304
United Kingdom,Q145,http://www.wikidata.org/entity/Q28231939,IFA-2,Underground power cable,50.088,-0.515
United Kingdom,Q145,http://www.wikidata.org/entity/Q5636206,HVDC Moyle,Underground power cable,54.9888,-5.4263
United Kingdom,Q145,http://www.wikidata.org/entity/Q5636209,North Sea Link,Underground power cable,57.5672,2.6769
United Kingdom,Q145,http://www.wikidata.org/entity/Q7987887,Western HVDC Link,Underground power cable,54.41021,-5.17121
United Kingdom,Q145,http://www.wikidata.org/entity/Q5331045,East–West Interconnector,Underground power cable,53.5305,-4.8257
United Kingdom,Q145,http://www.wikidata.org/entity/Q85932728,ElecLink,Underground power cable,51.0147,1.4967
United Kingdom,Q145,http://www.wikidata.org/entity/Q85764561,Greenlink,Underground power cable,51.6828,-6.1441
United Kingdom,Q145,http://www.wikidata.org/entity/Q2271607,Isle of Man to England Interconnector,Underground power cable,54.0,-3.83333
United Kingdom,Q145,http://www.wikidata.org/entity/Q84699868,Caithness - Moray Link,Underground power cable,58.1377,-2.5632
United States,Q30,http://www.wikidata.org/entity/Q7144630,Path 62,Underground power cable,35.801111111,-115.009444444
United States,Q30,http://www.wikidata.org/entity/Q2045524,Pacific DC Intertie,Underground power cable,45.594166666,-121.114166666
United States,Q30,http://www.wikidata.org/entity/Q5636205,HVDC Mechanicville–Schenectady,Underground power cable,42.8781,-73.6797
Denmark,Q35,http://www.wikidata.org/entity/Q264054,Skagerrak,Underground power cable,57.6477,8.618
Denmark,Q35,http://www.wikidata.org/entity/Q21208645,Viking Link,Underground power cable,54.6293,4.2304
Denmark,Q35,http://www.wikidata.org/entity/Q893982,Bornholm Cable,Underground power cable,55.2972,14.4353
Norway,Q20,http://www.wikidata.org/entity/Q264054,Skagerrak,Underground power cable,57.6477,8.618
Norway,Q20,http://www.wikidata.org/entity/Q1961296,NORD.LINK,Underground power cable,56.20835,7.23561
Norway,Q20,http://www.wikidata.org/entity/Q5636209,North Sea Link,Underground power cable,57.5672,2.6769
Netherlands,Q55,http://www.wikidata.org/entity/Q918000,BritNed,Underground power cable,51.44,0.716667
Netherlands,Q55,http://www.wikidata.org/entity/Q17468554,Q17468554,Underground power cable,53.0118,5.57259
Switzerland,Q39,http://www.wikidata.org/entity/Q76293289,Kraftwerk Kriegstetten,Underground power cable,47.19379025,7.5688807
Uganda,Q1036,http://www.wikidata.org/entity/Q111944213,Mutundwe–Entebbe High Voltage Power Line,Underground power cable,0.257222222,30.116111111
Uganda,Q1036,http://www.wikidata.org/entity/Q48791981,Karuma–Kawanda High Voltage Power Line,Underground power cable,0.864722,32.49
Uganda,Q1036,http://www.wikidata.org/entity/Q48811981,Nkenda–Mpondwe–Beni High Voltage Power Line,Underground power cable,0.053333333,29.723888888
